Sample 1,,
Time (min),Abs,
2.629166842,0.9276931286,
2.637500286,0.9283617735,
2.645833492,0.9263820052,
2.654166937,0.9244433045,
2.662500143,0.9256058335,
2.670833588,0.9264428616,
2.679167032,0.9260733128,
2.687500238,0.9255006313,
2.695833683,0.9253832698,
2.704166889,0.9239937663,
2.712500334,0.9242606163,
2.72083354,0.922362864,
2.729166985,0.9226260185,
2.737500191,0.921051681,
2.745833635,0.9199325442,
2.754166842,0.9192349911,
2.762500286,0.9200467467,
2.770833492,0.9195742607,
2.779166937,0.9206665754,
2.787500143,0.9206005931,
2.795833588,0.9188177586,
2.804167032,0.9185052514,
2.812500238,0.9177358747,
2.820833683,0.9184011817,
2.829166889,0.9184039831,
2.837500334,0.9168192744,
2.84583354,0.91718328,
2.854166985,0.9158940315,
2.862500191,0.9146117568,
2.870833635,0.9166722894,
2.879166842,0.9145584702,
2.887500286,0.9137513041,
2.895833492,0.9147251844,
2.904166937,0.9149670601,
2.912500143,0.9152510762,
2.920833588,0.9154601693,
2.929167032,0.914606452,
2.937500238,0.9141976833,
2.945833683,0.9130333066,
2.954166889,0.9136097431,
2.962500334,0.9124941826,
2.97083354,0.9130798578,
2.979166985,0.9124163389,
2.987500191,0.9116427898,
2.995833635,0.9108415842,
3.004166842,0.912048161,
3.012500286,0.9113930464,
3.020833492,0.9111232162,
3.029166937,0.9105635881,
3.037500143,0.9102095366,
3.045833588,0.9100067616,
3.054167032,0.9107045531,
3.062500238,0.9100701213,
3.070833683,0.9102385044,
3.079166889,0.9089926481,
3.087500334,0.909178257,
3.09583354,0.9093623757,
3.104166985,0.9072737098,
3.112500191,0.907510519,
3.120833635,0.9084041715,
3.129166842,0.9068501592,
3.137500286,0.9074729085,
3.145833492,0.9073352814,
3.154166937,0.9068263769,
3.162500143,0.9065260291,
3.170833588,0.906683743,
3.179167032,0.9047424793,
3.187500238,0.9065123796,
3.195833683,0.9053311944,
3.204166889,0.905769825,
3.212500334,0.9049443603,
3.22083354,0.9032331109,
3.229166985,0.905079782,
3.237500191,0.9052596688,
3.245833635,0.9038886428,
3.254166842,0.905533731,
3.262500286,0.9037444592,
3.270833492,0.9026547074,
3.279166937,0.9056039453,
3.287500143,0.9043221474,
3.295833588,0.9047287703,
3.304167032,0.9045873284,
3.312500238,0.9044859409,
3.320833683,0.9032939076,
3.329166889,0.9041840434,
3.337500334,0.9029448032,
3.34583354,0.9034164548,
3.354166985,0.9041635394,
3.362500191,0.9038217664,
3.370833635,0.9045407772,
3.379166842,0.903768003,
3.387500286,0.9039208889,
3.395833492,0.9032990932,
3.404166937,0.9034996033,
3.412500143,0.902508378,
3.420833588,0.9037129879,
3.429167032,0.902358532,
3.437500238,0.9019914269,
3.445833683,0.9033814073,
3.454166889,0.9026358128,
3.462500334,0.9017159343,
3.47083354,0.9018123746,
3.479166985,0.9012293816,
3.487500191,0.9008352757,
3.495833635,0.9014077783,
3.504166842,0.9020305872,
3.512500286,0.9014937282,
3.520833492,0.9012479782,
3.529166937,0.9009370804,
3.537500143,0.8996053338,
3.545833588,0.8999432921,
3.554167032,0.8992064595,
3.562500238,0.9005589485,
3.570833683,0.9005125761,
3.579166889,0.9006387591,
3.587500334,0.9001110196,
3.59583354,0.898788929,
3.604166985,0.8996269703,
3.612500191,0.8977065086,
3.620833635,0.8978700638,
3.629166842,0.8987851143,
3.637500286,0.8977449536,
3.645833492,0.8976672888,
3.654166937,0.8989209533,
3.662500143,0.896679461,
3.670833588,0.8982837796,
3.679167032,0.8986382484,
3.687500238,0.898575902,
3.695833683,0.8989455104,
3.704166889,0.8988323212,
3.712500334,0.8998416066,
3.72083354,0.8997576833,
3.729166985,0.8982739449,
3.737500191,0.898193717,
3.745833635,0.898417592,
3.754166842,0.8984543085,
3.762500286,0.8988386393,
3.770833492,0.8981315494,
3.779166937,0.8986338973,
3.787500143,0.8973584771,
3.795833588,0.8973761797,
3.804167032,0.8971655369,
3.812500238,0.8972178698,
3.820833683,0.8973389268,
3.829166889,0.8974345922,
3.837500334,0.8975151777,
3.84583354,0.8972102404,
3.854166985,0.8975163102,
3.862500191,0.8969260454,
3.870833635,0.8967884779,
3.879166842,0.895947814,
3.887500286,0.8962180018,
3.895833492,0.8956590295,
3.904166937,0.8960388303,
3.912500143,0.8960260749,
3.920833588,0.8959679604,
3.929167032,0.8952701092,
3.937500238,0.8958805799,
3.945833683,0.8956013322,
3.954166889,0.8950660229,
3.962500334,0.8948503733,
3.97083354,0.895588398,
3.979166985,0.8939585686,
3.987500191,0.8942722082,
3.995833635,0.8938647509,
4.00416708,0.8936774731,

Sample 1,
Sample 1
Collection Time: 24/09/2026 17:25:33
Operator Name  :
Kinetics Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 100
Instrument version                10.00
Wavelength (nm)                   340.00
Ordinate mode                     Abs
SBW (nm)                          1.0
Ave Time (sec)                    0.500
Cycle Time(min)                   0.00
Stop Time(min)                    4.00
Comments
Method Log     :
Method Name    : C:\Documents and Settings\UV\Bureau\Groupes\CSH\Lucile\240926\QS338\oxydase3.BKN
Date/Time stamp: 24/09/2026 17:25:33
Method Modifications:
Saved as C:\Documents and Settings\UV\Bureau\Groupes\CSH\Lucile\240926\QS338\oxydase3.BKN
End Method Modifications
<Current Wavelength> , 340.00
<Cycle Count> , 1

